flight_id,flight_date,carrier_code,origin,destination,dep_hour,day_of_week,temp_c,wind_speed_kph,visibility_km,weather_code,dep_delay,arr_delay,delay_flag,diversion_rate_origin,diversion_rate_carrier
1,2025-03-01,OH,ATL,CLT,5,6,14.4,147.6,16.1,Clear,-6.0,-4.0,0,0.002909173341,0.003093580819
2,2025-03-01,F9,ATL,TPA,5,6,14.4,147.6,16.1,Clear,-10.0,-18.0,0,0.002909173341,0.002440836251
3,2025-03-01,F9,ATL,CLE,5,6,14.4,147.6,16.1,Clear,-10.0,25.0,1,0.002909173341,0.002440836251
4,2025-03-01,AA,ATL,MIA,5,6,14.4,147.6,16.1,Clear,17.0,9.0,0,0.002909173341,0.00288359019
5,2025-03-01,NK,ATL,FLL,5,6,14.4,147.6,16.1,Clear,-5.0,-3.0,0,0.002909173341,0.001815614282
6,2025-03-01,OH,ATL,DCA,5,6,14.4,147.6,16.1,Clear,-6.0,-7.0,0,0.002909173341,0.003093580819
7,2025-03-01,NK,ATL,LAX,5,6,14.4,147.6,16.1,Clear,-2.0,-33.0,0,0.002909173341,0.001815614282
8,2025-03-01,F9,ATL,LAS,5,6,14.4,147.6,16.1,Clear,-1.0,-24.0,0,0.002909173341,0.002440836251
9,2025-03-01,F9,ATL,ORD,6,6,14.4,147.6,16.0,Clear,-7.0,-26.0,0,0.002909173341,0.002440836251
10,2025-03-01,NK,ATL,DTW,6,6,14.4,147.6,16.0,Clear,-7.0,-14.0,0,0.002909173341,0.001815614282
11,2025-03-01,UA,ATL,EWR,6,6,14.4,147.6,16.0,Clear,-8.0,-6.0,0,0.002909173341,0.002462907126
12,2025-03-01,B6,ATL,BOS,6,6,14.4,147.6,16.0,Clear,-6.0,-11.0,0,0.002909173341,0.004975591438
13,2025-03-01,WN,ATL,HOU,6,6,14.4,147.6,16.0,Clear,-1.0,-23.0,0,0.002909173341,0.002384997386
14,2025-03-01,B6,ATL,JFK,6,6,14.4,147.6,16.0,Clear,-8.0,-22.0,0,0.002909173341,0.004975591438
15,2025-03-01,WN,ATL,MCO,6,6,14.4,147.6,16.0,Clear,-4.0,-12.0,0,0.002909173341,0.002384997386
16,2025-03-01,NK,ATL,BOS,6,6,14.4,147.6,16.0,Clear,0.0,-13.0,0,0.002909173341,0.001815614282
17,2025-03-01,F9,ATL,ORF,6,6,14.4,147.6,16.0,Clear,-11.0,-25.0,0,0.002909173341,0.002440836251
18,2025-03-01,WN,ATL,BWI,6,6,14.4,147.6,16.0,Clear,-6.0,-16.0,0,0.002909173341,0.002384997386
19,2025-03-01,WN,ATL,MDW,6,6,14.4,147.6,16.0,Clear,-1.0,-8.0,0,0.002909173341,0.002384997386
20,2025-03-01,UA,ATL,ORD,6,6,14.4,147.6,16.0,Clear,-9.0,-3.0,0,0.002909173341,0.002462907126
21,2025-03-01,NK,ATL,IAH,6,6,14.4,147.6,16.0,Clear,-1.0,-15.0,0,0.002909173341,0.001815614282
22,2025-03-01,WN,ATL,DAL,6,6,14.4,147.6,16.0,Clear,-5.0,-29.0,0,0.002909173341,0.002384997386
23,2025-03-01,AA,ATL,MIA,6,6,14.4,147.6,16.0,Clear,-2.0,19.0,1,0.002909173341,0.00288359019
24,2025-03-01,DL,ATL,LAS,7,6,12.2,165.6,16.1,Clear,0.0,-27.0,0,0.002909173341,0.00253293406
25,2025-03-01,UA,ATL,SFO,7,6,12.2,165.6,16.1,Clear,-5.0,-39.0,0,0.002909173341,0.002462907126
26,2025-03-01,UA,ATL,EWR,7,6,12.2,165.6,16.1,Clear,-6.0,11.0,0,0.002909173341,0.002462907126
27,2025-03-01,UA,ATL,IAH,7,6,12.2,165.6,16.1,Clear,-2.0,-21.0,0,0.002909173341,0.002462907126
28,2025-03-01,NK,ATL,EWR,7,6,12.2,165.6,16.1,Clear,-2.0,43.0,1,0.002909173341,0.001815614282
29,2025-03-01,F9,ATL,IAD,7,6,12.2,165.6,16.1,Clear,-6.0,-8.0,0,0.002909173341,0.002440836251
30,2025-03-01,DL,ATL,BOS,7,6,12.2,165.6,16.1,Clear,8.0,-4.0,0,0.002909173341,0.00253293406
31,2025-03-01,DL,ATL,SLC,7,6,12.2,165.6,16.1,Clear,5.0,-24.0,0,0.002909173341,0.00253293406
32,2025-03-01,DL,ATL,MCO,7,6,12.2,165.6,16.1,Clear,-6.0,-10.0,0,0.002909173341,0.00253293406
33,2025-03-01,DL,ATL,MSP,7,6,12.2,165.6,16.1,Clear,-7.0,-19.0,0,0.002909173341,0.00253293406
34,2025-03-01,DL,ATL,SJU,7,6,12.2,165.6,16.1,Clear,0.0,-9.0,0,0.002909173341,0.00253293406
35,2025-03-01,DL,ATL,DTW,7,6,12.2,165.6,16.1,Clear,-3.0,-15.0,0,0.002909173341,0.00253293406
36,2025-03-01,DL,ATL,MIA,7,6,12.2,165.6,16.1,Clear,50.0,40.0,1,0.002909173341,0.00253293406
37,2025-03-01,DL,ATL,BWI,7,6,12.2,165.6,16.1,Clear,-4.0,-17.0,0,0.002909173341,0.00253293406
38,2025-03-01,DL,ATL,DFW,7,6,12.2,165.6,16.1,Clear,2.0,-6.0,0,0.002909173341,0.00253293406
39,2025-03-01,OH,ATL,PHL,7,6,12.2,165.6,16.1,Clear,-6.0,-16.0,0,0.002909173341,0.003093580819
40,2025-03-01,DL,ATL,LAX,7,6,12.2,165.6,16.1,Clear,-5.0,-31.0,0,0.002909173341,0.00253293406
41,2025-03-01,DL,ATL,PBI,7,6,12.2,165.6,16.1,Clear,4.0,3.0,0,0.002909173341,0.00253293406
42,2025-03-01,AA,ATL,DFW,7,6,12.2,165.6,16.1,Clear,-4.0,-8.0,0,0.002909173341,0.00288359019
43,2025-03-01,AA,ATL,ORD,7,6,12.2,165.6,16.1,Clear,-7.0,-10.0,0,0.002909173341,0.00288359019
44,2025-03-01,WN,ATL,DEN,7,6,12.2,165.6,16.1,Clear,-5.0,-17.0,0,0.002909173341,0.002384997386
45,2025-03-01,DL,ATL,CLT,7,6,12.2,165.6,16.1,Clear,-5.0,-20.0,0,0.002909173341,0.00253293406
46,2025-03-01,F9,ATL,JFK,7,6,12.2,165.6,16.1,Clear,8.0,2.0,0,0.002909173341,0.002440836251
47,2025-03-01,DL,ATL,JFK,7,6,12.2,165.6,16.1,Clear,0.0,-9.0,0,0.002909173341,0.00253293406
48,2025-03-01,DL,ATL,RSW,7,6,12.2,165.6,16.1,Clear,-5.0,-11.0,0,0.002909173341,0.00253293406
49,2025-03-01,DL,ATL,SEA,7,6,12.2,165.6,16.1,Clear,0.0,-23.0,0,0.002909173341,0.00253293406
50,2025-03-01,DL,ATL,SLC,8,6,12.2,129.6,16.1,Clear,2.0,-15.0,0,0.002909173341,0.00253293406
51,2025-03-01,NK,ATL,DTW,8,6,12.2,129.6,16.1,Clear,-1.0,-15.0,0,0.002909173341,0.001815614282
52,2025-03-01,DL,ATL,FLL,8,6,12.2,129.6,16.1,Clear,-6.0,-18.0,0,0.002909173341,0.00253293406
