station,date,temp_c,wind_speed_kph,visibility_km,weather_code
KATL,2025-03-01 00:00:00,17.2,129.6,16.0,Clear
KATL,2025-03-01 00:52:00,16.7,75.6,16.1,Clear
KATL,2025-03-01 01:52:00,15.6,93.6,16.1,Clear
KATL,2025-03-01 02:52:00,14.4,111.6,16.1,Clear
KATL,2025-03-01 03:00:00,14.4,111.6,16.0,Clear
KATL,2025-03-01 03:52:00,14.4,129.6,16.1,Clear
KATL,2025-03-01 04:52:00,13.3,129.6,16.1,Clear
KATL,2025-03-01 04:59:00,999.9,35996.4,1000.0,Clear
KATL,2025-03-01 04:59:00,999.9,35996.4,1000.0,Clear
KATL,2025-03-01 05:52:00,14.4,147.6,16.1,Clear
KATL,2025-03-01 06:00:00,14.4,147.6,16.0,Clear
KATL,2025-03-01 06:52:00,13.9,147.6,16.1,Clear
KATL,2025-03-01 07:52:00,12.2,165.6,16.1,Clear
KATL,2025-03-01 08:52:00,12.2,129.6,16.1,Clear
KATL,2025-03-01 09:00:00,12.2,129.6,16.0,Clear
KATL,2025-03-01 09:52:00,10.6,129.6,16.1,Clear
KATL,2025-03-01 10:52:00,10.0,147.6,16.1,Clear
KATL,2025-03-01 11:52:00,9.4,147.6,16.1,Clear
KATL,2025-03-01 12:00:00,9.4,147.6,16.0,Clear
KATL,2025-03-01 12:52:00,10.6,165.6,16.1,Clear
KATL,2025-03-01 13:52:00,13.3,147.6,16.1,Clear
KATL,2025-03-01 14:52:00,16.1,223.2,16.1,Clear
KATL,2025-03-01 15:00:00,16.1,223.2,16.0,Clear
KATL,2025-03-01 15:52:00,17.8,165.6,16.1,Clear
KATL,2025-03-01 16:52:00,20.6,259.2,16.1,Clear
KATL,2025-03-01 17:52:00,22.8,277.2,16.1,Clear
KATL,2025-03-01 18:00:00,22.8,277.2,16.0,Clear
KATL,2025-03-01 18:52:00,22.8,295.2,16.1,Clear
KATL,2025-03-01 19:52:00,23.3,388.8,16.1,Clear
KATL,2025-03-01 20:52:00,22.2,334.8,16.1,Clear
KATL,2025-03-01 21:00:00,22.2,334.8,16.0,Clear
KATL,2025-03-01 21:52:00,21.1,406.8,16.1,Clear
KATL,2025-03-01 22:52:00,18.9,241.2,16.1,Clear
KATL,2025-03-01 23:52:00,16.7,316.8,16.1,Clear
KATL,2025-03-02 00:00:00,16.7,316.8,16.0,Clear
KATL,2025-03-02 00:52:00,15.6,259.2,16.1,Clear
KATL,2025-03-02 01:52:00,13.9,334.8,16.1,Clear
KATL,2025-03-02 02:52:00,11.7,316.8,16.1,Clear
KATL,2025-03-02 03:00:00,11.7,316.8,16.0,Clear
