carrier_code,destination,dep_hour,day_of_week,temp_c,wind_speed_kph,visibility_km,diversion_rate_carrier
DL,SFO,19,1,16.7,129.6,16.1,0.00253293406
DL,HOU,16,1,21.0,129.6,11.3,0.00253293406
DL,BWI,16,7,8.9,165.6,9.7,0.00253293406
WN,MDW,22,4,22.8,75.6,16.1,0.002384997386
OH,DCA,20,1,16.7,295.2,16.1,0.003093580819
DL,Other,16,2,21.1,205.2,16.1,0.00253293406
DL,SJU,12,3,11.1,111.6,16.0,0.00253293406
WN,TPA,20,6,25.0,334.8,16.1,0.002384997386
DL,IAD,7,2,7.2,75.6,16.1,0.00253293406
DL,Other,22,1,16.7,129.6,16.1,0.00253293406
DL,PBI,14,3,18.9,129.6,16.1,0.00253293406
DL,DTW,16,1,11.7,316.8,16.1,0.00253293406
OH,DCA,16,5,21.1,147.6,16.1,0.003093580819
WN,MKE,20,2,21.7,295.2,16.1,0.002384997386
DL,MSY,10,6,15.6,165.6,16.1,0.00253293406
DL,MSY,16,7,21.1,183.6,16.1,0.00253293406
DL,MIA,16,1,21.0,129.6,11.3,0.00253293406
DL,OMA,22,7,22.8,165.6,16.1,0.00253293406
UA,EWR,7,7,13.3,147.6,16.1,0.002462907126
WN,DCA,7,2,7.2,75.6,16.1,0.002384997386
DL,Other,21,4,21.7,165.6,16.0,0.00253293406
DL,PNS,18,4,21.7,93.6,16.1,0.00253293406
DL,LGA,7,4,12.8,93.6,14.5,0.00253293406
DL,Other,22,4,20.6,147.6,16.1,0.00253293406
DL,MSY,17,6,24.4,334.8,16.1,0.00253293406
WN,AUS,20,6,23.3,241.2,16.1,0.002384997386
F9,MCO,9,2,9.4,75.6,16.0,0.002440836251
DL,TPA,12,6,15.6,111.6,16.0,0.00253293406
DL,RDU,19,7,13.3,93.6,16.1,0.00253293406
DL,ECP,12,1,13.9,129.6,12.0,0.00253293406
DL,Other,10,2,8.3,75.6,16.1,0.00253293406
DL,MSY,11,7,2.2,165.6,16.1,0.00253293406
DL,GSP,8,6,17.8,129.6,16.1,0.00253293406
DL,RSW,21,6,22.2,295.2,16.0,0.00253293406
DL,FLL,9,2,9.4,75.6,16.0,0.00253293406
DL,MIA,11,6,17.2,75.6,16.1,0.00253293406
DL,CHS,17,1,8.9,223.2,14.5,0.00253293406
DL,MEM,19,7,9.4,183.6,9.7,0.00253293406
DL,DEN,18,3,21.1,129.6,16.0,0.00253293406
DL,MIA,11,5,13.3,0.0,16.1,0.00253293406
DL,RIC,22,7,21.1,223.2,16.1,0.00253293406
DL,PBI,19,5,18.9,277.2,16.1,0.00253293406
DL,MIA,15,6,19.4,165.6,16.0,0.00253293406
DL,CVG,22,2,21.1,350.0,16.1,0.00253293406
DL,RDU,22,3,21.7,277.2,16.1,0.00253293406
DL,SEA,19,7,22.2,295.2,16.1,0.00253293406
DL,BWI,13,3,11.1,205.2,16.1,0.00253293406
DL,JAX,22,1,20.6,183.6,16.1,0.00253293406
DL,Other,15,2,14.4,111.6,16.0,0.00253293406
DL,SRQ,14,2,11.7,183.6,16.1,0.00253293406
DL,BNA,21,5,26.7,111.6,16.0,0.00253293406
DL,JFK,7,2,7.2,111.6,16.1,0.00253293406
DL,BHM,13,6,18.3,111.6,16.1,0.00253293406
DL,PBI,15,2,11.7,183.6,16.0,0.00253293406
WN,CMH,22,5,25.6,165.6,16.1,0.002384997386
WN,IND,21,2,26.1,334.8,16.0,0.002384997386
DL,DAB,9,5,13.3,54.0,12.0,0.00253293406
WN,LAS,18,6,21.7,295.2,16.0,0.002384997386
DL,Other,19,7,22.2,295.2,16.1,0.00253293406
OO,Other,10,5,13.9,75.6,16.1,0.003757959073
DL,MSY,15,6,15.0,241.2,16.0,0.00253293406
DL,DFW,17,7,22.8,334.8,16.1,0.00253293406
DL,MIA,9,5,13.3,54.0,12.0,0.00253293406
WN,MSY,9,5,5.0,93.6,16.0,0.002384997386
DL,RSW,10,2,6.1,147.6,16.1,0.00253293406
NK,LAS,22,4,11.7,259.2,16.1,0.001815614282
DL,CHS,14,6,19.4,165.6,16.1,0.00253293406
F9,CLE,5,6,14.4,147.6,16.1,0.002440836251
DL,SJU,16,6,20.6,241.2,16.1,0.00253293406
DL,STL,22,7,9.4,223.2,16.1,0.00253293406
